,code,name,price
1,MMM,3M,201.1
2,AXP,American Express,108.28
3,AAPL,Apple,204.47
4,BA,Boeing,369.34
5,CAT,Caterpillar,126.91
6,CVX,Chevron,119.51
7,CSCO,Cisco,47.11
8,KO,Coca-Cola,49.68
9,DIS,Disney,118.0
10,DWDP,DowDuPont Inc,58.68
11,XOM,Exxon Mobil,80.87
12,GS,Goldman Sachs,222.65
13,HD,Home Depot,185.99
14,IBM,IBM,123.54
15,INTC,Intel,48.11
16,JNJ,Johnson & Johnson,145.34
17,JPM,JPMorgan Chase,111.29
18,MCD,McDonald's,185.94
19,MRK,Merck,74.86
20,MSFT,Microsoft,109.57
21,NKE,Nike,76.36
22,PFE,Pfizer,44.28
23,PG,Procter & Gamble,92.41
24,TRV,Travelers Companies Inc,131.03
25,UTX,United Technologies,130.71
26,UNH,UnitedHealth,276.55
27,VZ,Verizon,58.46
28,V,Visa,143.93
29,WMT,Wal-Mart,105.56
30,WBA,Walgreen,82.39
