ID,duration,views,appreciations,comments,ownerDuration,ownerFollowers,ownerViews,ownerAppreciations,V
28,1438,556,107,6,1960,382,11870,3323,841.6454
41,838,469,52,2,3524,386,31439,2898,1378.8996
48,1779,491,42,0,2140,203,7092,553,476.9224
73,2022,426,23,0,2388,3076,65844,7610,3005.4264
83,483,156,21,1,706,9,395,47,82.0989
145,1718,386,8,1,2374,156,9027,396,509.0323
157,1791,194,7,0,1894,8,1355,55,222.5227
176,1027,131,6,1,1888,11,881,110,172.5701
185,1941,103,5,0,2442,28,3316,99,308.0123
222,696,50,4,0,696,4,284,19,76.6918
